"RA1"	"RA2"	"RA3"	"RA4"	"RA5"	"RA6"	"RA7"	"RA8"	"RA9"	"RA10"	"RA11"	"RA12"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"CTSK"	6116.60769252668	7710.89749467355	6862.38346393045	5485.05192261583	5531.28479376765	7971.3755336089	5026.90338393806	6767.57043536491	7100.14404599648	6605.9973665005	6882.43604261814	7383.402242643	12744.6833491437	9653.23576920534	3402.3181361338	2589.26771455371	1875.15695158956	9318.84555736527	5158.53100772408	5200.24453087691	6244.77219305939
"FCGR2A"	1064.18972648762	698.229016391841	2050.13777147988	1688.14754839653	543.109330691801	1789.85419581808	1110.41427785456	2744.86168683672	2420.13158637701	993.613094552552	1831.12370821233	2553.79242916334	1364.40621950295	1847.73623902724	552.723109425678	2355.8184170936	2437.71106933053	1030.09948581985	1187.04932206589	1174.94437340525	1742.66966259937
"MYLK"	968.850954945511	1367.11568564843	1155.56210817126	887.673204686261	2229.64638417441	681.02448447608	1040.47286139276	795.72980311132	674.074346411897	537.700576485422	390.430625782127	493.108263559233	1290.35583532878	742.611442161769	939.594121021816	103.932838068598	337.68646178568	2400.07817405969	823.439520175578	649.607332834871	524.917036311857
"FCER1G"	3487.571859767	2582.3633511383	3861.0813334479	3911.80436730942	2652.71423397565	4425.89667130392	5921.85642725812	7486.07141564077	7496.04347257749	4422.12635319839	7649.33696385964	8699.73155106619	2857.20083999702	5668.26786259457	2067.87103786261	4856.32473660878	4613.86838407102	5979.07204491377	5315.34937393636	4676.85007034201	6869.61586971049
"ACTG2"	376.618871776661	548.113581045529	269.936599911617	158.110607666013	1378.351373707	207.231493384237	138.89735405969	144.57070303589	189.979833240664	226.170007851742	212.971113081487	152.546294825741	241.665758156286	247.15388527409	404.703287750237	205.666193840373	271.795151330789	693.041583554271	257.480979949563	142.15604963327	130.020040906687
"VAV3"	196.900587986643	351.154522076375	434.285078935677	638.209804884246	237.310214444524	331.169539701865	579.057157543347	340.51358930231	339.66848070657	306.159918204232	310.544017312012	458.93444642695	283.442578624744	356.354733554012	279.661428560379	393.634830733733	400.255824797472	198.987238647986	243.317742741077	443.757608746678	272.002407147161
"HLA-G"	13156.2975680453	7320.80684258959	8501.45058625148	11850.2030751946	6265.58665042638	10021.2846668987	10152.6165323706	9664.05594401728	6495.6587277096	6182.93418714741	8230.33989894992	8535.67731496189	6938.84342874461	8288.06605682815	5224.42675787016	6511.05451349289	9911.73221644499	7649.65053008794	8301.35764409128	8205.80670612286	4932.17490436991
"BID"	648.372373551888	457.599786719477	354.789940045868	425.188067799807	288.002931708693	408.938138015628	436.873746571327	539.068644571744	366.976444758665	344.047199166458	610.335263892725	441.593555709683	206.300865643629	333.818166766993	197.078847777725	699.53439121343	334.150790340615	286.384510828533	344.848279153069	298.066707525671	322.65687377144
"LILRB4"	334.187285701158	286.584294268124	189.247794124778	283.102161684386	164.472514539585	403.100045257395	532.640327545763	635.255377733114	385.206163330314	234.933286015378	525.33308208355	1105.30454759374	112.107313912401	416.451739949072	99.8141010530686	235.858788608407	210.514431588668	508.318701818796	411.357985971483	428.830316984301	432.205086369443
"BTK"	250.531321351367	244.636747830456	515.865552708432	608.545595018057	183.708519734275	383.994261588441	686.461031182508	597.5105856335	815.141159273844	406.069178596027	564.891568763911	345.845898644574	339.67053444103	430.434963753077	226.988463470969	253.501284300914	275.220070248006	372.149063409459	366.179946658385	327.632787903052	401.224471224849
