GeneSym	NA	GeneID
A1BG	na	1
A1BG-AS1	na	503538
A1CF	na	29974
A2M	na	2
A2ML1	na	144568
A2MP1	na	3
A3GALT2	na	127550
A4GALT	na	53947
A4GNT	na	51146
AA06	na	100506677
AAA1	na	100329167
AAAS	na	8086
AACS	na	65985
AACSP1	na	729522
AADAC	na	13
AADACL2	na	344752
AADACL3	na	126767
AADACL4	na	343066
AADAT	na	51166
AAED1	na	195827
AAGAB	na	79719
AAK1	na	22848
AAMDC	na	28971
AAMP	na	14
AANAT	na	15
AAR2	na	25980
AARD	na	441376
AARS	na	16
AARS2	na	57505
AARSD1	na	80755
AASDH	na	132949
AASDHPPT	na	60496
AASS	na	10157
AATF	na	26574
AATK	na	9625
AATK-AS1	na	388428
ABAT	na	18
ABCA1	na	19
ABCA10	na	10349
ABCA11P	na	79963
ABCA12	na	26154
ABCA13	na	154664
ABCA17P	na	650655
ABCA2	na	20
ABCA3	na	21
ABCA4	na	24
ABCA5	na	23461
ABCA6	na	23460
ABCA7	na	10347
ABCA8	na	10351
ABCA9	na	10350
ABCB1	na	5243
ABCB10	na	23456
ABCB11	na	8647
ABCB4	na	5244
ABCB5	na	340273
ABCB6	na	10058
ABCB7	na	22
ABCB8	na	11194
ABCB9	na	23457
ABCC1	na	4363
ABCC10	na	89845
ABCC11	na	85320
ABCC12	na	94160
ABCC13	na	150000
ABCC2	na	1244
ABCC3	na	8714
ABCC4	na	10257
ABCC5	na	10057
ABCC6	na	368
ABCC6P1	na	653190
ABCC6P2	na	730013
ABCC8	na	6833
ABCC9	na	10060
ABCD1	na	215
ABCD2	na	225
ABCD3	na	5825
ABCD4	na	5826
ABCE1	na	6059
ABCF1	na	23
ABCF2	na	10061
ABCF3	na	55324
ABCG1	na	9619
ABCG2	na	9429
ABCG4	na	64137
ABCG5	na	64240
ABCG8	na	64241
ABHD1	na	84696
ABHD10	na	55347
ABHD11	na	83451
ABHD11-AS1	na	171022
ABHD12	na	26090
ABHD12B	na	145447
ABHD13	na	84945
ABHD14A	na	25864
ABHD14A-ACY1	na	100526760
ABHD14B	na	84836
ABHD15	na	116236
ABHD16A	na	7920
ABHD16B	na	140701
ABHD17A	na	81926
ABHD17B	na	51104
ABHD17C	na	58489
ABHD2	na	11057
ABHD3	na	171586
ABHD4	na	63874
ABHD5	na	51099
ABHD6	na	57406
ABHD8	na	79575
ABI1	na	10006
ABI2	na	10152
ABI3	na	51225
ABI3BP	na	25890
ABL1	na	25
ABL2	na	27
ABLIM1	na	3983
ABLIM2	na	84448
ABLIM3	na	22885
ABO	na	28
ABR	na	29
ABRA	na	137735
ABRACL	na	58527
ABT1	na	29777
ABTB1	na	80325
ABTB2	na	25841
ACAA1	na	30
ACAA2	na	10449
ACACA	na	31
ACACB	na	32
ACAD10	na	80724
ACAD11	na	84129
ACAD8	na	27034
ACAD9	na	28976
ACADL	na	33
ACADM	na	34
ACADS	na	35
ACADSB	na	36
ACADVL	na	37
ACAN	na	176
ACAP1	na	9744
ACAP2	na	23527
ACAP3	na	116983
ACAT1	na	38
ACAT2	na	39
ACBD3	na	64746
ACBD4	na	79777
ACBD5	na	91452
ACBD6	na	84320
ACBD7	na	414149
ACCS	na	84680
ACCSL	na	390110
ACD	na	65057
ACE	na	1636
ACE2	na	59272
ACE3P	na	100129123
ACER1	na	125981
ACER2	na	340485
ACER3	na	55331
ACHE	na	43
ACIN1	na	22985
ACKR1	na	2532
ACKR2	na	1238
ACKR3	na	57007
ACKR4	na	51554
ACLY	na	47
ACMSD	na	130013
ACN9	na	57001
ACO1	na	48
ACO2	na	50
ACOT1	na	641371
ACOT11	na	26027
ACOT12	na	134526
ACOT13	na	55856
ACOT2	na	10965
ACOT4	na	122970
ACOT6	na	641372
ACOT7	na	11332
ACOT8	na	10005
ACOT9	na	23597
ACOX1	na	51
ACOX2	na	8309
ACOX3	na	8310
ACOXL	na	55289
ACP1	na	52
ACP2	na	53
ACP5	na	54
ACP6	na	51205
ACPP	na	55
ACPT	na	93650
ACR	na	49
ACRBP	na	84519
ACRC	na	93953
ACRV1	na	56
ACSBG1	na	23205
ACSBG2	na	81616
ACSF2	na	80221
ACSF3	na	197322
ACSL1	na	2180
ACSL3	na	2181
ACSL4	na	2182
ACSL5	na	51703
ACSL6	na	23305
ACSM1	na	116285
ACSM2A	na	123876
ACSM2B	na	348158
ACSM3	na	6296
ACSM4	na	341392
ACSM5	na	54988
ACSM6	na	142827
ACSS1	na	84532
ACSS2	na	55902
ACSS3	na	79611
ACTA1	na	58
ACTA2	na	59
ACTB	na	60
ACTBL2	na	345651
ACTC1	na	70
ACTG1	na	71
ACTG2	na	72
ACTL10	na	170487
ACTL6A	na	86
ACTL6B	na	51412
ACTL7A	na	10881
ACTL7B	na	10880
ACTL8	na	81569
ACTL9	na	284382
ACTN1	na	87
ACTN2	na	88
ACTN3	na	89
ACTN4	na	81
ACTR10	na	55860
ACTR1A	na	10121
ACTR1B	na	10120
ACTR2	na	10097
ACTR3	na	10096
ACTR3B	na	57180
ACTR3BP2	na	440888
ACTR3BP5	na	399746
ACTR3C	na	653857
ACTR5	na	79913
ACTR6	na	64431
ACTR8	na	93973
ACTRT1	na	139741
ACTRT2	na	140625
ACTRT3	na	84517
ACVR1	na	90
ACVR1B	na	91
ACVR1C	na	130399
ACVR2A	na	92
ACVR2B	na	93
ACVRL1	na	94
ACY1	na	95
ACY3	na	91703
ACYP1	na	97
ACYP2	na	98
ADA	na	100
ADAD1	na	132612
ADAD2	na	161931
ADAL	na	161823
ADAM10	na	102
ADAM11	na	4185
ADAM12	na	8038
ADAM15	na	8751
ADAM17	na	6868
ADAM18	na	8749
ADAM19	na	8728
ADAM1A	na	8759
ADAM1B	na	100420505
ADAM2	na	2515
ADAM20	na	8748
ADAM20P1	na	317760
ADAM21	na	8747
ADAM21P1	na	145241
ADAM22	na	53616
ADAM23	na	8745
ADAM28	na	10863
ADAM29	na	11086
ADAM30	na	11085
ADAM32	na	203102
ADAM33	na	80332
ADAM3A	na	1587
ADAM5	na	255926
ADAM6	na	8755
ADAM7	na	8756
ADAM8	na	101
ADAM9	na	8754
ADAMDEC1	na	27299
ADAMTS1	na	9510
ADAMTS10	na	81794
ADAMTS12	na	81792
ADAMTS13	na	11093
ADAMTS14	na	140766
ADAMTS15	na	170689
ADAMTS16	na	170690
ADAMTS17	na	170691
ADAMTS18	na	170692
ADAMTS19	na	171019
ADAMTS2	na	9509
ADAMTS20	na	80070
ADAMTS3	na	9508
ADAMTS4	na	9507
ADAMTS5	na	11096
ADAMTS6	na	11174
ADAMTS7	na	11173
ADAMTS8	na	11095
ADAMTS9	na	56999
ADAMTS9-AS2	na	100507098
ADAMTSL1	na	92949
ADAMTSL2	na	9719
ADAMTSL3	na	57188
ADAMTSL4	na	54507
ADAMTSL5	na	339366
ADAP1	na	11033
ADAP2	na	55803
ADAR	na	103
ADARB1	na	104
ADARB2	na	105
ADARB2-AS1	na	642394
ADAT1	na	23536
ADAT2	na	134637
ADAT3	na	113179
ADC	na	113451
ADCK1	na	57143
ADCK2	na	90956
ADCK3	na	56997
ADCK4	na	79934
ADCK5	na	203054
ADCY1	na	107
ADCY10	na	55811
ADCY2	na	108
ADCY3	na	109
ADCY4	na	196883
ADCY5	na	111
ADCY6	na	112
ADCY7	na	113
ADCY8	na	114
ADCY9	na	115
ADCYAP1	na	116
ADCYAP1R1	na	117
ADD1	na	118
ADD2	na	119
ADD3	na	120
ADGB	na	79747
ADH1A	na	124
ADH1B	na	125
ADH1C	na	126
ADH4	na	127
ADH5	na	128
ADH6	na	130
ADH7	na	131
ADHFE1	na	137872
ADI1	na	55256
ADIG	na	149685
ADIPOQ	na	9370
ADIPOR1	na	51094
ADIPOR2	na	79602
ADIRF	na	10974
ADK	na	132
ADM	na	133
ADM2	na	79924
ADM5	na	199800
ADNP	na	23394
ADNP2	na	22850
ADO	na	84890
ADORA1	na	134
ADORA2A	na	135
ADORA2A-AS1	na	646023
ADORA2B	na	136
ADORA3	na	140
ADPGK	na	83440
ADPRH	na	141
ADPRHL1	na	113622
ADPRHL2	na	54936
ADPRM	na	56985
ADRA1A	na	148
ADRA1B	na	147
ADRA1D	na	146
ADRA2A	na	150
ADRA2B	na	151
ADRA2C	na	152
ADRB1	na	153
ADRB2	na	154
ADRB3	na	155
ADRBK1	na	156
ADRBK2	na	157
ADRM1	na	11047
ADSL	na	158
ADSS	na	159
ADSSL1	na	122622
ADTRP	na	84830
AEBP1	na	165
AEBP2	na	121536
AEN	na	64782
AES	na	166
AFAP1	na	60312
AFAP1-AS1	na	84740
AFAP1L1	na	134265
AFAP1L2	na	84632
AFF1	na	4299
AFF2	na	2334
AFF3	na	3899
AFF4	na	27125
AFG3L1P	na	172
AFG3L2	na	10939
AFM	na	173
AFMID	na	125061
AFP	na	174
AFTPH	na	54812
AGA	na	175
AGAP1	na	116987
AGAP11	na	119385
AGAP2	na	116986
AGAP3	na	116988
AGAP4	na	119016
AGAP5	na	729092
AGAP6	na	414189
AGAP7P	na	653268
AGAP9	na	642517
AGBL1	na	123624
AGBL2	na	79841
AGBL3	na	340351
AGBL4	na	84871
AGBL5	na	60509
AGER	na	177
AGFG1	na	3267
AGFG2	na	3268
AGGF1	na	55109
AGK	na	55750
AGL	na	178
AGMAT	na	79814
AGMO	na	392636
AGO1	na	26523
AGO2	na	27161
AGO3	na	192669
AGO4	na	192670
AGPAT1	na	10554
AGPAT2	na	10555
AGPAT3	na	56894
AGPAT4	na	56895
AGPAT4-IT1	na	79992
AGPAT5	na	55326
AGPAT6	na	137964
AGPAT9	na	84803
AGPS	na	8540
AGR2	na	10551
AGR3	na	155465
AGRN	na	375790
AGRP	na	181
AGT	na	183
AGTPBP1	na	23287
AGTR1	na	185
AGTR2	na	186
AGTRAP	na	57085
AGXT	na	189
AGXT2	na	64902
AHCTF1	na	25909
AHCY	na	191
AHCYL1	na	10768
AHCYL2	na	23382
AHDC1	na	27245
AHI1	na	54806
AHNAK	na	79026
AHNAK2	na	113146
AHR	na	196
AHRR	na	57491
AHSA1	na	10598
AHSA2	na	130872
AHSG	na	197
AHSP	na	51327
AICDA	na	57379
AIDA	na	64853
AIF1	na	199
AIF1L	na	83543
AIFM1	na	9131
AIFM2	na	84883
AIFM3	na	150209
AIG1	na	51390
AIM1	na	202
AIM1L	na	55057
AIM2	na	9447
AIMP1	na	9255
AIMP2	na	7965
AIP	na	9049
AIPL1	na	23746
AIRE	na	326
AIRN	na	100271873
AJAP1	na	55966
AJUBA	na	84962
AK1	na	203
AK2	na	204
AK3	na	50808
AK4	na	205
AK5	na	26289
AK7	na	122481
AK8	na	158067
AK9	na	221264
AKAP1	na	8165
AKAP10	na	11216
AKAP11	na	11215
AKAP12	na	9590
AKAP13	na	11214
AKAP14	na	158798
AKAP17A	na	8227
AKAP2	na	11217
AKAP3	na	10566
AKAP4	na	8852
AKAP5	na	9495
AKAP6	na	9472
AKAP7	na	9465
AKAP8	na	10270
